,RPN004,,Rano Kau,Rano Kau II,,,,,,
,RPN005,,Rano Kau,Rano Kau Group General,,,,,,
,UNV056,x,Rock Canyon,Rock Canyon I,,,,,,
,UNV057,,Rock Canyon,Rock Canyon II,,,,,,
,JPN043,x,Rubeshibe,Rubeshibe Group General,,,,,,
,JPN122,,Rubeshibe,Rubeshibe I,,,,,,
,JPN123,,Rubeshibe,Rubeshibe II,,,,,,
,UCA055,x,Saline Range,Saline Range Variety 1,,,,,,
,UCA056,,Saline Range,Saline Range Variety 2,,,,,,
,UCA057,,Saline Range,Saline Range Variety 3,,,,,,
,UAZ013,x,San Francisco Peak,San Francisco Peak A,,,,,,
,UAZ014,,San Francisco Peak,San Francisco Peaks B,,,,,,
,GUA010,x,San Martín Jilotepeque,San Martín Jilotepeque Group General,,,,,,
,GUA017,,San Martín Jilotepeque,San Martín Jilotepeque 1,,,,,,
,GUA018,,San Martín Jilotepeque,San Martín Jilotepeque 2,,,,,,
,GUA019,,San Martín Jilotepeque,San Martín Jilotepeque 3,,,,,,
,GUA020,,San Martín Jilotepeque,San Martín Jilotepeque 4,,,,,,
,GUA021,,San Martín Jilotepeque,San Martín Jilotepeque 5,,,,,,
,GUA022,,San Martín Jilotepeque,San Martín Jilotepeque 6,,,,,,
,ITL008,x,Sardinia,Sardinia-A,,,,,,
,ITL009,,Sardinia,Sardinia-B1,,,,,,
,ITL010,,Sardinia,Sardinia-C,,,,,,
,ITL011,,Sardinia,Sardinia-D,,,,,,
,ITL019,,Sardinia,Sardinia-B2,,,,,,
,ITL020,,Sardinia,Sardinia B Group General,,,,,,
,TKY032,x,Sarikamis,Sarikamis I,,,,,,
,TKY033,,Sarikamis,Sarikamis II,,,,,,
,TKY060,,Sarikamis,Sarikamis Group general,,,,,,
,TKY065,,Sarikamis,North Sarikamis,,,,,,
,ARM019,x,Satanakar,Satanakar Group General,,,,,,
,ARM031,,Satanakar,Satanakar 1,,,,,,
,ARM032,,Satanakar,Satanakar 2,,,,,,
,JPN049,x,Shirataki,Shirataki Group General,,,,,,
,JPN114,,Shirataki,Shirataki I,,,,,,
,JPN115,,Shirataki,Shirataki II,,,,,,
,JPN116,,Shirataki,Shirataki III,,,,,,
,JPN117,,Shirataki,Shirataki IV,,,,,,
,JPN118,,Shirataki,Shirataki V,,,,,,
